key_person,source,value
06e7fbed,tsncards,148618
06e9a640,findagrave,356326
06e9a640,tsncards,12516
06f0d1a6,tsncards,78261
06f1d15e,tsncards,139937
06f22623,tsncards,162635
06f3b4fd,tsncards,15359
06f7a0f8,tsncards,31586
06fb308c,tsncards,162322
06fb38b2,findagrave,173448677
06fb38b2,tsncards,150311
06ffa393,tsncards,61215
070636c1,findagrave,72577107
070636c1,tsncards,146477
070e2e84,tsncards,5733
070e4da9,tsncards,4539
07100eea,findagrave,31163922
07109819,tsncards,62547
07154069,tsncards,12437
07158f20,tsncards,89342
071669cb,tsncards,98882
071b5572,tsncards,12352
0722553e,findagrave,129951617
0722553e,tsncards,25227
072c79a7,tsncards,140844
07352190,tsncards,12242
0736b500,tsncards,181349
0736bbf4,tsncards,25114
0739b075,findagrave,3264624
073a5cc6,tsncards,12953
073c9f7f,tsncards,10488
073d8358,tsncards,83598
073e6042,tsncards,16866
073fb54d,tsncards,132993
0744274a,findagrave,20632141
0744274a,tsncards,10311
07477e44,findagrave,110811418
0748b958,tsncards,68683
074b11d8,tsncards,13322
074ba7ef,tsncards,296
074cb230,findagrave,181508464
074cb230,tsncards,135765
0752c69d,findagrave,195318939
0752c69d,tsncards,64179
07533d1f,tsncards,82892
07585b1f,tsncards,102356
075874cc,tsncards,32967
075c3739,tsncards,14538
075f2ca0,tsncards,14846
076183cf,findagrave,28198249
076183cf,tsncards,152610
0763961a,findagrave,186258911
0763961a,tsncards,72692
076423cf,tsncards,149560
07729191,tsncards,132895
07754174,tsncards,18854
07784e08,findagrave,101335523
07784e08,tsncards,65789
07786f61,tsncards,32901
077c565b,tsncards,25945
077e3c8e,findagrave,3561793
0781d206,tsncards,12495
078220ec,tsncards,110705
0782265c,findagrave,100757706
0782265c,tsncards,86989
0782da5b,tsncards,88509
07833631,findagrave,145811640
0783b27d,tsncards,109558
0788c788,tsncards,88809
07907496,tsncards,30919
0792cf34,findagrave,108594233
0792cf34,tsncards,100191
0793c54f,tsncards,45089
07941c02,tsncards,116077
0795792d,findagrave,189829064
0796fc9b,tsncards,175550
07981c37,findagrave,99535332
079a7657,findagrave,98204547
079a7657,tsncards,11390
079a7657,tsncards,12551
079abbcf,findagrave,3492
079abbcf,tsncards,130701
079d4487,tsncards,178333
07a0cfea,findagrave,89858830
07a0cfea,tsncards,116418
07a28176,tsncards,10614
07a38a6b,tsncards,98972
07a484fe,tsncards,121173
07a4a24f,tsncards,96068
07a52fa4,tsncards,116180
07a6b34b,findagrave,103325047
07a80555,tsncards,119995
07a826d3,tsncards,6238
07a9df91,tsncards,103739
07b13521,tsncards,32834
07b31174,findagrave,91728854
07b31174,tsncards,15136
07b5366d,tsncards,133206
07b5a32f,findagrave,119246842
07b5a32f,tsncards,172497
07b9b03b,tsncards,14671
07baafa2,tsncards,19998
07c112f3,tsncards,93012
07c12222,tsncards,42273
07c1e97b,tsncards,118139
07c27d23,tsncards,79725
07ca134c,tsncards,29846
07cb4d77,tsncards,90100
07cf4476,tsncards,32661
07cfab07,tsncards,12752
07cff9c5,tsncards,11774
07d10705,tsncards,74733
07d541a9,findagrave,124376913
07d541a9,tsncards,22519
07d541a9,tsncards,8253
07d60767,tsncards,120503
07d8e096,findagrave,237572460
07d8e096,tsncards,86178
07d946a1,findagrave,285120012
07d946a1,tsncards,156130
07db0d47,tsncards,66544
07db5730,tsncards,14736
07dc0228,tsncards,15199
07dcd8fc,tsncards,119468
07e77d96,tsncards,149527
07f5075d,tsncards,138168
